الغنائي	Lyrical
العائلة	Family
للخيول	For
ابرزها	Namely
الكروي	Spherical
زعيم	Leader
يمكننا	We
والقطاع	The
تركت	Left
ماليزيا	Malaysia
الحصان	Horse
بروح	Spirit
التراجع	Retreat
الاستعانة	Use
ودون	And
بالقول	Saying
ركب	Rode
لاستقبال	To
واختيار	And
وقسم	And
ينزل	Descends
رحيم	Rahim
قادمة	Coming
الموحدة	Standard
ولله	And
الزوجة	Wife
فإننا	We
تتابع	Relay
مشروعا	Project
اقامتها	Hosted
لأنشطة	For
وتحت	Under
الوزاري	Ministerial
القراء	Readers
الغافري	Ghaferi
الهدى	Huda
هائلة	Huge
الوليد	Alwaleed
فنجد	We
هجمة	Onslaught
الحضرمي	Hadrami
أفغانستان	Afghanistan
مواكبة	Keep
المنتظر	Expected
فتاة	Girl
فريقي	Panels
للمنطقة	Area
محدد	Set
لدرجة	To
نسبيا	Relatively
تأثر	Affected
وقدمت	And
وسدد	And
بعبري	Ibri
لحضور	To
أحدهما	One
ترتفع	Rises
الإقليمية	Regional
المبكر	Early
نال	Received
أنفسكم	Yourselves
لزيارة	To
حققها	Achieved
البطاشي	البطاشي
تدريجيا	Gradually
أعداد	Numbers
المرضى	Patients
تأمل	Hopes
ابنة	Daughter
عنك	You
فسوف	Will
موت	Death
التسهيلات	Facilities
نتاج	Product
بحوالي	About
أجمل	Beautiful
العفو	Amnesty
الخصائص	Characteristics
توضيح	Clarify
وتعمل	And
هاني	Hani
خلفه	Behind
بالمحافظة	Maintaining
التكاليف	Costs
السرية	Secret
والزراعة	And
الساحلية	Coastal
وتبقى	The
انتقل	Moved
الحلقات	Rings
المدة	Duration
مقابلة	Interview
قرأ	Read
التغيرات	Changes
العضوية	Member
ملف	File
المتوسطة	Medium
الانظمة	Systems
لعلكم	You
الترجيح	Weighting
ويوجد	There
نشأت	Originated
والتعريف	The
المصطلح	Term
مدن	Cities
الاستخدام	Use
مطالبة	Claim
سددها	Shot
الاستئناف	Appeal
جعلها	Make
نجحت	Succeeded
الأقصى	Far
الكرام	Dear
دوائر	Circuits
مؤشرات	Indicators
التوزيع	Distribution
عليم	Knowing
واقعية	Realistic
موسيقى	Music
وطلب	Asked
المفترض	Supposed
لمعالجة	To
الطاولة	Table
قرابة	Nearly
تظل	Remain
المؤقتة	Temporary
تألق	Shine
لالعاب	Games
حواجز	Barriers
مبكر	Early
المحطة	Station
يمشي	Walking
حادث	Accident
المرسوم	Decree
والعالمية	The
إصدار	Issue
توصل	Reach
بالعاصمة	Capital
العجمي	Ajami
يتولى	The
لوجود	The
أهلها	People
عميق	Deep
التوعوية	Awareness
دورية	Patrol
عرفت	Known
الظواهر	Phenomena
زين	Zain
عرضها	Displayed
العمري	Age
أعطى	Gave
علامة	Mark
الأسعار	Price
للدور	The
قصائد	Poems
البصري	Optical
وقتا	Time
عناية	Care
أخرج	Out
انكلترا	England
تركه	Leaving
المخيم	Camp
السيئة	Bad
حاولت	Tried
الدقيق	Flour
المتدربين	Trainees
جدير	Worth
والتأهيل	And
عمليا	Practically
حوض	Basin
جانبا	Aside
الجنرال	Gen
وجوب	Should
النشرة	Bulletin
تنتج	Produces
المسائية	Evening
محادثات	Talks
الخلايا	Cells
يسبح	Swim
الأولمبي	Olympic
للحفاظ	To
وتقام	And
أدنى	Minimum
السد	Dam
التوسع	Expansion
خارطة	MAP
نوعها	Kind
فنان	Artist
الغناء	Singing
وترى	And
الستار	Curtain
ولكي	To
حيا	Alive
طائرة	Plane
الستة	Six
لرفع	To
ترأس	Presided
الواردات	Imports
واحد	One
انعقاد	The
دائمة	Permanent
المعولي	Mawali
نبيه	Nabih
بالمشاركة	Participate
أسبوع	Week
السجن	Jail
امن	Security
سار	Sar
تحقيقها	Achieved
وخرج	And
الناشئين	Junior
ذهابا	Round
الأهلية	Civil
الشابة	Young
خصوصية	Privacy
فله	He
اعتقال	Arrest
دل	Del
وهؤلاء	Those
شهرين	Months
أعماق	Depths
البطل	Hero
عقبة	Obstacle
باتت	Now
وحقوق	The
مناسب	Appropriate
يصح	True
قلنا	Said
والثلاثين	Thirty
الكنيسة	Church
دورته	Its
اعطى	Gave
لمحمد	Mohammed
ودول	States
الاحمر	Red
لعملية	To
التقني	Technical
العميد	Brigadier
تلقي	Receive
سهولة	Ease
قط	Never
وذات	And
ناقشت	Discussed
صلاته	Links
المصاحبة	Accompanying
لسوق	Market
النوعية	Quality
حقيقي	Real
يختار	Choose
ورأى	And
وتقييم	And
دقيق	Flour
الكائنات	Objects
وحفظ	And
وصفه	And
طفل	Child
وفعاليات	And
تسمع	Hear
اشجار	Trees
المحبة	Loving
اللطيف	Latif
تنويع	Diversification
عبده	Abdo
مميزة	Featured
حلم	Dream
وحسين	And
الباطل	Falsehood
عربيا	Arab
ويتضمن	Includes
قلق	Concern
الأوضاع	Conditions
بالدور	Role
تصحيح	Correct
أقصى	Maximum
الأسر	Families
معروفة	Known
للدكتور	Dr
فكرية	Intellectual
الرياح	Wind
الإعلامية	Media
المعاقين	Disabled
ودفع	And
الأردنية	Jordan
لاختيار	To
جواز	Passport
الميثاق	Charter
الغزالي	Ghazali
التخصيص	Customization
ادخال	Insert
الأماكن	Places
لحقوق	Human
عواصم	Capitals
وفازت	And
مفتوح	Open
بالضرورة	Necessarily
للدفاع	To
لعل	Perhaps
تولى	Took
يتصل	Related
ا	A
مباراتين	Two
صاحبها	Owner
السلاح	Arms
حث	Urged
لمثل	Like
ويعود	And
القادة	Leaders
نبي	Prophet
موسكو	Moscow
عصرنا	Our
والجهات	The
تستضيف	Hosts
بالمدرسة	School
الدهر	Age
مخالفة	Contravention
كيلومترات	Kilometers
وقامت	The
حظيت	Received
إنجاز	Completion
التام	Full
أميركية	US
بدخول	Enter
وعضو	And
المستشار	Chancellor
الأجيال	Generations
المعالجة	Processing
بجروح	Wounded
الأمية	Illiteracy
التيار	AC
التميز	Excellence
الفاعلة	Actors
الضيف	Guest
الممارسات	Practices
الكهربائي	Electrical
الجمركية	Customs
الطلاق	Divorce
العارضة	Crossbar
بالفكر	Thought
وأي	Any
99	
للبحث	Search
المتسابق	Racer
المنشود	Desired
تفتح	Open
الكوري	Korean
والكليات	And
بانشاء	Establishment
بغية	To
وكلما	Whenever
نطفة	Sperm
الناخبين	Voters
وتطبيق	And
عندنا	We
بقيت	Remained
الجمع	Combined
مفاهيم	Concepts
ومعه	And
الاربع	Four
شهادات	Certificates
القربى	Kin
اللائحة	Regulation
وتوزيع	And
ينجح	Succeed
غضب	Anger
وبيان	Statement
اجتماعه	Its
المثقفين	Intellectuals
المرشح	Candidate
بالدرجة	Class
ديوان	Office
النقاش	Discussion
الحجري	Stone
الصيام	Fasting
التقوى	Piety
والعلاقات	Relations
فعالياته	Its
وجدنا	We
تتيح	Allow
اختلف	Differed
ضم	Included
قرارا	Resolution
ونتمنى	And
اشاد	Praised
الخضراء	Green
الاصلي	Original
واعتقد	I
المعلومة	Information
الارشاد	Extension
تشهدها	Witnessed
للجمهور	To
وتعادل	And
عاملا	Factor
الطموح	Ambitious
الروائي	Novelist
الحيوان	Animal
تثبت	Prove
العالمى	World
سيطرة	Control
وفريق	And
ليلا	Night
مبالغ	Amounts
أيدي	By
الميداليات	Medals
القطع	Cutting
احيانا	Sometimes
رأينا	Saw
تحولت	Turned
الاثار	Antiquities
تكرار	Repeat
تبرز	Stand
بجائزة	Award
ويذكر	The
الخلافة	Caliphate
الحزن	Sadness
نقرأ	Read
وضمن	And
الانتشار	Proliferation
يركز	Focuses
الرامية	Efforts
صفر	Zero
معارض	Shows
انت	You
أسلحة	Weapons
سد	Dam
المبدع	Creator
قدمتها	Provided
توقع	Predicted
للمباراة	The
يعرفون	Know
فلسفة	Philosophy
مذكرة	Memorandum
والندوات	And
بالاتحاد	Union
إجراءات	Procedures
صغير	Small
جعله	Make
لتحسين	To
القتال	Fighting
مرماه	OG
المعالي	Excellencies
أكتوبر	October
سبحان	Glory
طرف	Party
جعفر	Jaafar
شوقي	Shawki
بطلة	Champion
أساسية	Basic
الكرات	Balls
الحجم	Size
زار	Visited
أندية	Clubs
الوادي	Valley
ضباط	Officers
التدريبي	Training
ولكننا	But
والقوانين	The
وارتفاع	High
القارة	Continent
الميلاد	Birth
يبين	Shows
دليلا	Proof
مفاوضات	Negotiations
المخدرات	Drugs
تواجد	Seen
أركان	Staff
الامطار	Rain
ديفيد	David
الإصلاح	Reform
قادرا	Able
توضح	Describes
بجنوب	South
نهى	Forbade
ترد	Received
ناقش	Discussed
شاهد	Show
المدربين	Trained
عرضت	Offered
اقتصادي	Economic
وكانوا	And
جاك	Jacques
جندي	Soldier
العثور	Found
شيء	About
اشخاص	People
راحة	Comfort
مرتفعة	High
الرحيم	Rahim
الهدايا	Gifts
تاريخه	History
المقبالي	Almkabbala
بغض	Regardless
دوما	Always
قضاء	Spend
تتخذ	Take
بحجة	Pretext
بطولات	Tournaments
العاص	Aas
الذهنية	Mental
استعمال	Use
يقود	Lead
الالكتروني	Mail
بالنادي	Club
يدعون	Call
المباني	Buildings
خصص	Allocated
صالحا	Valid
الضائع	Lost
الحياتية	Life
للولايات	States
اى	Any
القليل	Little
ثقافي	Cultural
بمجرد	Once
يخوض	Running
تردد	Frequency
الأوقاف	Endowments
الاتحادات	Unions
وروى	And
المثل	Ideals
ومدير	And
فروع	Branches
تسهيل	Facilitate
التكلفة	Cost
المدعي	Prosecutor
والعالم	The
الاستشارية	Advisory
الطائرات	Aircraft
الاساليب	Styles
اعوام	Years
تبذلها	Made
المقصود	Intended
المقومات	Constituents
العريقة	Ancient
أمية	Illiteracy
شرط	Clause
الزاوية	Angle
إخراج	Output
وآله	And
اسماء	The
المعشري	Almashra
عظيما	Great
الذنوب	Sins
ضرب	Hit
والآخرة	And
الانفجار	Explosion
عالمي	Global
المعالم	Monuments
السودانية	Sudan
اليومي	Daily
والعطاء	The
مماثلة	Similar
معاوية	Muawiya
تفعل	Do
للاقتصاد	Of
والواقع	Indeed
عزت	Izzat
الربط	Linkage
الاحيان	Times
التجمع	Assembly
جهنم	Hell
طرد	Expelled
الصالحين	Righteous
وفاته	His
السابقين	Ex
الحذر	Caution
الخيال	Fiction
الوافدين	Arrivals
التجار	Traders
الثقافات	Cultures
البيئي	Environmental
لاعادة	Re
بالمقابل	Conversely
الطلبات	Applications
العطية	Attiyah
يحظى	Has
يفتتح	Opens
سياسي	Political
أنفسنا	Ourselves
المجموعات	Groups
شاطئ	Beach
انجازات	Achievements
الأكثر	Most
مكانا	Place
طواف	Cruising
الديون	Debt
ص	P
فإنما	I
اسرة	Dynasty
المصانع	Factories
صار	Became
والمواد	Articles
ينتج	Produces
يمكنه	Can
الشهادات	Certificates
السبع	Seven
سلوك	Behavior
العقاري	Real
الطفولة	Childhood
الملتقيات	Forums
يمتلك	Owns
حرصت	Keen
التوجيهات	Directives
صيانة	Maintenance
البسيطة	Mini
بالهيئة	Authority
عرفة	Arafa
يستخدم	Uses
يعلمون	Know
الشيوخ	Senate
عراقية	Iraqi
تخفيض	Reduction
احدث	Latest
زمنية	Time
اختار	Chose
حدد	Select
الميزانية	Budget
الإسرائيلية	Israeli
الأمنية	Security
بنية	Structure
الوافدة	Incoming
القرون	Ages
المعسكرات	Camps
المفكرين	Thinkers
أحدث	Latest
اسلامية	Islamic
ناجحة	Successful
القاء	Shed
ركن	Corner
باستثناء	Except
هدفه	Target
لمهرجان	Festival
انور	Anwar
بطن	Belly
والثالث	And
الطواف	Circumambulation
الجملة	Wholesale
بصحار	Sohar
التقليدي	Traditional
العيون	Eyes
للامم	UN
لشئون	Affairs
فتنة	Fitna
اشارة	Signal
مسار	Path
أسواق	Markets
الاذاعة	Radio
وكأن	As
شعراء	Poets
تبني	Build
الأمين	Secretary
إبراز	Highlighting
وتحديدا	Namely
المقدم	Submitted
مطر	Matar
القلم	Pen
الرأس	Head
يجيب	Answers
الايجابي	Positive
حسنة	Well
الأخبار	News
بالمستوى	Level
يحرص	Keen
عليهما	Them
اسس	Foundations
العظيمة	Great
يضمن	Ensures
بخصوص	About
اخي	Only
سياق	Context
يوصي	Recommends
جمهور	Audience
عقده	Held
والاطلاع	And
الظهر	Back
مثال	Example
والده	His
أكدت	Confirmed
حكما	Sentenced
المتميزين	Outstanding
خوفا	Fear
الصحراء	Desert
السمكي	Fish
السكانية	Population
القريبة	Near
كونا	Kuna
بسوق	Market
ونتيجة	As
بحد	Up
الوالدين	Parents
الفرحة	Joy
الجوفية	Groundwater
السباحة	Swim
الشريفة	Honorable
فندق	Hotel
الأخطاء	Errors
الإصابة	Injury
وتهدف	The
الجامعية	University
سرية	Secret
سكنية	Housing
تخصص	Allocate
اعماله	Its
فجر	Dawn
الدعاء	Supplication
للطلبة	Students
شوط	Run
الزوج	Pair
وعلم	And
فرحة	Joy
برنامجا	Program
ابراز	Highlight
تستهدف	Target
نموا	Growth
ويسعى	Seeks
تاريخها	History
يميز	Distinguishes
تقدمت	Made
بالعدل	Justly
شرائح	Segments
المراعي	Pasture
صهوة	Horseback
اولئك	Those
مناهج	Approaches
الفضاء	Space
الهيئات	Bodies
نالت	Gained
تقسيم	Division
تقنيات	Techniques
سئل	Asked
الموجود	Located
سأل	Asked
بفوزه	Winning
محو	Erase
يلزم	Required
بالتأكيد	Certainly
العربي	Arab
سريعا	Fast
النائب	MP
العقوبات	Penalties
المساواة	Equality
طه	Taha
قاله	Said
رر	PL
بحرية	Freely
أوراق	Papers
العائد	Yield
عطاء	Ata
عجز	Deficit
بطبيعة	Naturally
هولندا	Netherlands
و	And
محلية	Local
متميز	Privileged
الثابت	Hard
الحين	Then
وأهل	And
تحققت	Achieved
عظمة	Greatness
رصد	Monitoring
الطين	Mud
اضاف	Added
العادة	Usually
أخيه	His
النظم	Systems
والصين	China
تشهده	Witnessed
محفوظ	Mahfouz
للعالم	For
الثورة	Revolution
ويتوقع	The
الراحة	Comfort
أقوى	Stronger
قائم	Based
تحظى	Are
الرباط	Rabat
الأمل	Hope
والجبال	And
المعتمدة	Approved
وبهذه	In
الجنس	Gender
يأكل	Eats
تقتصر	Limited
وأضافت	The
ومكان	And
الأردن	Jordan
إننا	We
وسوريا	Syria
صرف	Exchange
واوضحت	She
بذكر	Remembrance
الرئاسية	Presidential
قوى	Forces
التفاعل	Interaction
صدرت	Issued
المعوقات	Constraints
ويعمل	And
متكامل	Integrated
محلات	Goods
بإذن	Permission
المخلفات	Residues
المعاملة	Treatment
يستفيد	Benefiting
مثله	Like
ويقدم	And
أغلب	Most
تزخر	Replete
والدليل	Proof
المائدة	Table
بزمن	A
التحتية	Infrastructure
الدستور	Constitution
محافظات	Governorates
السماح	Allowing
مايكل	Michael
بمدرسة	School
وصور	Photo
يرغب	Wish
الولد	Boy
سنغافورة	Singapore
والوافي	And
دام	Lasted
ثمرة	Fruit
الاتجاهات	Trends
حج	Ag
الرماية	Shooting
صباحا	Am
والسياحة	And
وتضيف	And
مخرج	Exit
الأخضر	Green
لمنظمة	Organization
النسائية	Women's
حملت	Loaded
الفتح	Conquest
انسان	Man
يورو	EUR
بركة	Pond
مرتبطة	Linked
سندا	Bond
الاقبال	Turnout
ونقلت	Quoted
والشباب	The
القصائد	Poems
يهدي	Guides
الوحدات	Units
الميدان	Field
ونأمل	We
عملهم	Their
عقله	His
فعله	Do
سفر	Travel
أدت	Led
الرائعة	Magnificent
محدودة	Limited
سفيان	Sufian
الروحية	Spiritual
الواسعة	Wide
تايلاند	Thailand
والنساء	And
الاحكام	Conditions
آفاق	Horizons
الجماعات	Groups
الهجن	Camel
يرون	See
ينطلق	Off
التمييز	Discrimination
للتدريب	Training
محكم	Arbitrator
التركية	Turkish
المولى	Mawla
ادار	Refereed
تعنى	Means
سهيل	Sohail
اتخذت	Taken
المذكورة	Mentioned
استراليا	Australia
والسياسية	And
يموت	Die
ومنطقة	And
اتفاقيات	Conventions
تنظمه	Organized
ساعد	Helped
الراهن	Current
زوار	Visitors
بفعل	By
بعين	Into
ورؤساء	And
المقدس	Bible
فيهما	Two
داخلية	Internal
نعيش	Live
لكأس	Cup
استعداد	Ready
شخصيات	Figures
المحدد	Specified
الجاهلية	Ignorance
كليات	Colleges
تابع	Continued
طبيعي	Normal
سباقات	Racing
بنادي	Club
استكمال	Complete
صعب	Saab
معي	Me
الغضب	Anger
حدثت	Occurred
المنطلق	Vein
المنتجة	Produced
اساليب	Methods
قصص	Stories
إمكانية	The
بالولايات	States
نظيفة	Clean
عدو	Enemy
المتغيرات	Variables
ودورها	And
الاثرية	Archeological
يربط	Connecting
اقبالا	Turnout
المفتوحة	Open
المحادثات	Talks
للرئيس	President
الفقرات	Paragraphs
وكنت	I
فعن	Narrated
قبيلة	Tribe
الوثيقة	Document
للحكومة	Government
والسعادة	And
يحج	Pilgrimage
النوم	Sleep
الروحي	Spiritual
الأحيان	Often
ومثل	And
تحتوي	Containing
نصر	Nasr
مصطلح	Term
يتضح	Clear
صراع	Conflict
يؤمنون	Believe
المخصصة	Allocated
الاثر	Impact
الذاكرة	Memory
لتنظيم	To
التصور	Visualization
سمع	Heard
تعيين	Set
الإنسان	Rights
الكعبة	Kaaba
الحروب	Wars
والاقتصاد	And
نار	Fire
الآداب	Arts
ترجع	Returns
والسمكية	Fish
مولانا	Maulana
كسب	Earn
ضخمة	Huge
يسجل	Score
القتل	Killing
السريعة	Fast
اساسية	Basic
عقل	Mind
المناسبات	Events
القياسي	Record
استثمار	Invest
الشخصي	Profile
التحرير	Liberation
والتقدير	And
مسائل	Issues
ينتهي	Ends
بالقطاع	Sector
نسخة	Copy
فأين	Where
وتطرق	Turning
قديمة	Old
رسوم	Fees
الأحاديث	Conversations
الاجمالي	Total
المذهب	Doctrine
تصميم	Design
الختامي	Final
اية	State
وتشمل	Include
واما	And
بلير	Blair
تنظر	Consider
الإجراءات	Procedures
اضافية	Additional
الميناء	Port
العملي	Practical
الاقليمي	Regional
المتحف	Museum
تمتلك	Owns
يقضي	Spend
توصيل	Connecting
الاساس	Foundation
مجالس	Councils
مشاهد	Scenes
يوضح	Shows
جسم	Body
هوية	Identity
تحسن	Improved
مكانه	Place
استعدادات	Preparations
وفتح	The
ينتقل	Turns
نذكر	Recall
حديد	Iron
شرعية	Legitimacy
زميله	Colleague
لها	Her
الأساس	Base
الرئاسة	Presidential
لهؤلاء	Of
الأجر	Pay
سلطة	Authority
الأشخاص	People
أماكن	Places
جمعت	Collected
والشيخ	Sheikh
الحنيف	True
الغالية	Dear
آليات	Mechanisms
تشتمل	Include
التقت	Met
اللازم	Required
السعر	Price
آمن	Safe
ينفع	Benefit
للمجتمع	Community
يسبق	Preceded
منظومة	System
بأكثر	More
واصبح	And
المتوفرة	Available
الرستاق	Rustaq
الدائمة	Standing
الحديد	Iron
واصل	Continued
البديل	Alternative
الأفضل	Best
خصب	Khasab
مجريات	Happenings
تقرأ	Read
النطاق	Range
السفارة	Embassy
فاننا	We
بالذات	Precisely
سيقوم	Will
الأدبية	Literary
المكرمين	Honorees
بلوغ	Reach
تضمنت	Included
يشتمل	Includes
الفضائية	Space
والقرآن	The
ستقوم	Will
وطالبة	The
الغير	Others
نسعى	Seek
الفطرة	Instinct
الاجنبي	Foreign
قمنا	We
دنيا	Minimum
وحدات	Units
اصابة	Injuring
لقول	To
أزمة	Crisis
توصيات	Recommendations
ضبط	Set
ربكم	Lord
الخصوص	Particular
مشهد	Scene
كفروا	Disbelieve
الصعبة	Difficult
ونجح	And
وفيها	And
والسلامة	And
تحدثت	Spoke
بيوم	Day
رالي	Rally
وصولا	Down
فبعد	After
تراب	Dust
يرفع	Raises
تستضيفها	Hosted
وولايات	And
بيده	His
التليفزيونية	TV
ونشر	The
العلامة	Mark
لأنهم	Because
السياق	Context
مصالح	Interests
زوجته	His
للمناطق	Areas
وتدريب	And
الاختصاص	Jurisdiction
مالي	Mali
أنس	Anas
كرم	Karam
الادبي	Literary
عندي	I
والبحوث	And
سلبا	Negatively
الثابتة	Fixed
بدرجة	Degree
شعبية	Popular
نشرت	Published
الحجاب	Veil
والبعض	Some
يستحق	Worth
تحقيقه	Achieved
المدونة	Blog
كميات	Quantities
شجرة	Tree
ثلاثين	Thirtieth
وبيع	The
العالم	World
لشؤون	For
السبق	Lead
الاماكن	Places
خليل	Khalil
والانشطة	And
فنجاء	Fanja
الاسلوب	Style
أمل	Amal
بأعمال	Work
للشرطة	Police
امتداد	Extension
جبريل	Jibril
يتيح	Allows
الدرس	Lesson
العادات	Habits
واعادة	And
وانشاء	Generation
تحصل	Get
بالفوز	Winning
العقلية	Mental
سطح	Surface
والدول	States
المسؤولية	Responsibility
تنشيط	Activate
استضافة	Host
تسديدة	Shot
الترفيهي	Entertainment
انطلق	Off
بالغة	Extremely
آياته	Verses
مازالت	Still
قائما	Stand
فنيا	Technically
للناشئين	U
الاميركى	US
مطار	Airport
وقوة	The
مشيرة	Noting
تقرر	Decides
جنود	Soldiers
وشهدت	And
جدوى	Feasibility
باللقب	Title
عامي	Ami
والسعودية	And
ومسلم	Muslim
التوجيه	Directive
برشلونة	Barcelona
الصادق	Sadiq
إسماعيل	Ismail
وعبر	And
يفتح	Open
ضغط	Pressure
هام	Ham
وحدها	Alone
الاغلاقات	Closures
التفتيش	Inspection
كمال	Kamal
اعلان	Advertising
الايجابية	Positive
تسمح	Allow
يتعين	To
الترويج	Promotion
الجلد	Skin
الاسمنت	Cement
وكتاب	The
تأمين	Insurance
شباك	Box
تعدد	Multiplicity
صدارة	Top
جاسم	Jassim
البصرة	Basra
مملكة	Kingdom
مشكلات	Problems
حجر	Stone
تسمى	Called
أكون	I
الجمعيات	Societies
الامكانيات	Possibilities
للطلاب	Students
الترمذي	Tirmidhi
السبل	Ways
المحطات	Stations
لائحة	List
طن	Tonnes
السامي	High
قضى	Spent
وصرح	Said
مديري	Managers
الجليل	Galilee
الكل	Total
ويبدو	It
انك	You
تعليمية	Educational
للشركات	Companies
وشركة	The
حولها	Around
الديمقراطي	Democratic
أني	I
التزام	Commitment
علمه	Knowing
المدافع	Defender
سهل	Easy
الباكستانية	Pakistan
قيم	Values
تضع	Put
خطاب	Speech
الملابس	Clothing
اماكن	Places
التراب	Dirt
احسن	Best
قريبة	Close
شكلت	Formed
عندهم	Have
يونايتد	United
يتمثل	Is
دينهم	Religion
بثلاثة	Three
يضيف	Adds
احرز	Scored
وايران	And
بمثل	Such
تدريبات	Exercises
مبارياته	Matches
مبكرا	Early
الأحوال	Conditions
الشهير	Famous
ولماذا	Why
بخلاف	Than
الزائر	Visiting
يصعب	Difficult
نظرية	Theory
موافقة	Approval
ويستمر	And
مقبول	Acceptable
نبيل	Nabil
الميمني	Maimani
سلطنة	Sultanate
العقلي	Mental
يعكس	Reflects
وتراجع	And
محور	Axis
الفضية	Silver
وحماية	And
بصور	Images
السلبي	Negative
لدراسة	To
لمختلف	For
ولكل	And
باعتبار	As
الهوية	Identity
اميركية	US
الرائع	Magnificent
والكتاب	The
مفتوحة	Open
التسامح	Tolerance
القطاعين	Sectors
والفنون	The
عملي	My
سمير	Samir
عندها	Then
مهام	Tasks
العمومية	Sheet
منتجات	Products
للسيارات	Car
الصدق	Honesty
وأخرى	The
الكاميرون	Cameroon
تدفع	Pay
وآخر	The
لادارة	Management
اللواتي	Who
معاملة	Treatment
الفعل	Verb
جهدا	Effort
بنهاية	End
التنظيمية	Regulatory
وانها	And
يسهم	Contribute
ومصر	Egypt
الحرارة	Heat
جدة	Jeddah
فيكون	Shall
بحكم	Ex
والمشاريع	And
خفض	Cut
تنفيذه	Executed
نأخذ	Take
التدريبات	Exercises
مد	D
وتفعيل	And
منزل	HOME
وبعدها	And
الافراد	Individuals
حكومية	Governmental
بيوت	Houses
وضعها	Placed
النشر	Publication
فيتنام	Vietnam
الافلام	Movies
ذاك	That
القبائل	Tribes
يحق	Entitled
المؤشر	Index
السفينة	Ship
الاجانب	Foreigners
سلمان	Salman
أساليب	Methods
ظلمات	Darkness
منصب	Position
مستقلة	Independent
للانسان	For
أعلنت	Announced
حصر	Inventory
التشريعية	Legislative
والاتحاد	Union
تتوفر	Available
الفهم	Understanding
الحيوي	Dynamic
والعقل	And
رؤوس	Capital
عرضه	Display
فذلك	That
مراجعة	Review
قاسم	Qasim
فترات	Periods
البرازيل	Brazil
القبول	Admissions
بجوار	Next
والحقيقة	In
بدية	Bidiya
الحر	Free
يحتوي	Contains
اللوحات	Paintings
قتلوا	Killed
نزول	The
الجماعي	Collective
فماذا	What
ومناقشة	And
ويهدف	Aims
إلينا	Us
اصل	Out
مدربه	Coach
هدفين	Two
للتعرف	To
اعطاء	Give
جزيرة	Island
امل	Amal
ضيق	Narrow
المهام	Tasks
الاسر	Families
والبحرين	Bahrain
فلقد	Has
تسليم	Delivered
الضمان	Warranty
جميعها	All
المفكر	Thinker
الشوارع	Streets
الامتحان	Exam
الآراء	Consensus
يكشف	Reveals
بموجب	Under
المؤتمرات	Conferences
توظيف	Hire
المركبات	Vehicles
وعي	Awareness
القضاة	Judges
حياتها	Her
المتابعة	Followup
المرشحين	Candidates
مرهون	Depends
الشرب	Drinking
الانفاق	Spending
ومعرض	Gallery
الاتفاقيات	Agreements
رئاسة	Presidency
فقط	Only
يفهم	Understand
نعلم	Know
يتوقف	Stop
الفلسفة	Philosophy
الأحزاب	Parties
أمامه	In
والعربية	English
الناجحة	Successful
الموافقة	Approved
توعية	Awareness
وتأهيل	And
الخيل	Horse
توحيد	Unify
وسبل	And
موارد	Resources
المناخ	Climate
والمكان	And
وبدر	Badr
نأمل	Hope
طلبات	Requests
متكاملة	Integrated
القلق	Anxiety
بافتتاح	Opened
فلان	SMB
تسعة	Nine
طهران	Tehran
التونسية	Tunisian
وحب	Love
اخراج	Directed
عمق	Depth
قدره	Of
الاغذية	Food
بملعب	Stadium
الفقهية	Jurisprudential
الأنبياء	Prophets
قصد	Inadvertently
السر	Password
معايير	Standards
مركزا	Center
شاب	Young
سحب	Withdraw
الشاطئية	Beach
تتواصل	Continue
التاريخي	Historic
والتجارة	And
وحصلت	And
بحلول	By
تمتد	Stretching
القطرية	Qatar
وأصبح	And
كاملا	Full
المحاور	Axes
طيلة	Over
اتصال	Contact
يراه	Sees
الشعري	Poetic
عضوا	Member
والتجارية	And
النقاد	Critics
الخريجين	Graduates
منصور	Mansour
الاردني	Jordan
ونصف	And
بتاريخ	On
الكثيرة	Many
سي	C
الأولمبية	Olympic
الاحوال	Case
قليل	Few
الاستعدادات	Preparations
ومؤسسات	And
وتحدث	Speaking
حكمة	Wisdom
حرام	Haram
مبادئ	Principles
مقام	Maqam
وتشير	The
الأجنبية	Foreign
أحكام	Provisions
معركة	Battle
الأصل	Original
العريمي	Araimi
بالجامعة	University
الرسائل	Messages
يحدد	Identifies
ألفا	Alpha
الافكار	Ideas
الانتقال	Jump
المستجدات	Developments
شكر	Thanked
ونظرا	Given
الحل	Solution
السندات	Bonds
معلم	Teacher
المصالح	Interests
بشدة	Strongly
بالطبع	Course
الاعلامي	Media
الفئات	Categories
قدما	Forward
بتكلفة	At
المدرسي	School
تتعرض	Exposed
العاشرة	X
تعقد	Hold
ذهبت	Went
رضوان	Radwan
لدور	The
بعملية	Process
التسويق	Marketing
للتجارة	Trading
أحدهم	One
موجود	Existing
وتعد	The
تتجاوز	Exceed
الاكاديمية	Academy
آراء	Views
سقف	Roof
منطلق	Out
تتراوح	Range
مشترك	Joint
وسنة	Year
أفريقيا	Africa
المعوقين	Disabled
المجيد	Majeed
لمناقشة	To
الضروري	Necessary
بمن	Including
قدرته	Its
أخذت	Took
الجميل	Beautiful
لويس	Louis
طابع	Character
واخرى	And
المراقبة	Monitoring
الامل	Hope
طيب	Tayyip
والتطوير	And
الميدالية	Medal
معروف	Unknown
قرارات	Resolutions
بأس	Quite
البستان	Bustan
الغرض	Purpose
